description,code
"A blue button with medium Helvetica text, using inline-block layout, aligned to the left, with none, fade-in, and a :hover { background-color: #555; color: white; }.","<button style='background-color: yellow; font-size: 18px; font-family: Georgia; display: grid; text-align: left; box-shadow: 2px 2px 5px rgba(0, 0, 0, 0.3); animation: slide-up 2s; transition: all 0.3s ease; :hover { box-shadow: 0 0 10px rgba(0, 0, 0, 0.5); }'>Submit</button> @keyframes bounce { 0%, 20%, 50%, 80%, 100% { transform: translateY(0); } 40% { transform: translateY(-30px); } 60% { transform: translateY(-15px); } }"
"A purple box with dashed border, linear-gradient(to bottom, blue, green) background, large text centered inside, using none layout, with :hover { background-color: #555; color: white; } and slide-up.","<div style='background: linear-gradient(to right, red, yellow); border: 2px dotted green; font-size: 16px; text-align: center; display: none; justify-content: flex-start; align-items: center; animation: spin 2s; transition: transform 0.2s ease-in-out; :hover { box-shadow: 0 0 10px rgba(0, 0, 0, 0.5); }'>Search</div> @keyframes spin { from { transform: rotate(0deg); } to { transform: rotate(360deg); } }"
"A button containing a list of options with green text, each inside a ridge box, with 4px 4px 10px rgba(0, 0, 0, 0.5), slide-up, and @media (min-width: 600px) and (max-width: 1200px) { font-size: 16px; }.","<nav><ul style='box-shadow: 4px 4px 10px rgba(0, 0, 0, 0.5); animation: bounce 1.5s;'><li style='color: white; border: 1px ridge pink;'>Submit</li><li style='color: green; border: 1px double black;'>Sign Up</li><li style='color: red; border: 1px dotted cyan;'>Choose Option</li><li style='color: red; border: 1px groove purple;'>Submit</li><li style='color: red; border: 1px ridge yellow;'>Choose Option</li></ul></nav> @keyframes fade-in { from { opacity: 0; } to { opacity: 1; } } @media (max-width: 600px) { font-size: 14px; }"
"A responsive header with a grid layout using template 'repeat(3, 1fr)', containing items with medium text and :hover { transform: scale(1.1); }.",<textarea style='display: grid; grid-template-columns: 100px 1fr; gap: 10px; :hover { transform: scale(1.1); }'><li style='color: yellow; border: 1px dotted green;'>Submit</li><li style='color: green; border: 1px dashed gray;'>Choose Option</li><li style='color: yellow; border: 1px double pink;'>Sign Up</li><li style='color: pink; border: 1px double pink;'>Enter Your Name</li><li style='color: gray; border: 1px solid white;'>Sign Up</li></textarea> @keyframes fade-in { from { opacity: 0; } to { opacity: 1; } }
"A div containing a list of options with gray text, each inside a solid box, with none, slide-up, and @media (max-width: 600px) { font-size: 14px; }.","<h1><ul style='box-shadow: 2px 2px 5px rgba(0, 0, 0, 0.3); animation: slide-up 1.5s;'><li style='color: red; border: 1px ridge cyan;'>Hello World</li><li style='color: blue; border: 1px groove green;'>Click Me</li><li style='color: purple; border: 1px ridge yellow;'>Contact Us</li><li style='color: yellow; border: 1px ridge cyan;'>Login</li><li style='color: orange; border: 1px double gray;'>Choose Option</li></ul></h1> @keyframes bounce { 0%, 20%, 50%, 80%, 100% { transform: translateY(0); } 40% { transform: translateY(-30px); } 60% { transform: translateY(-15px); } } @media (min-width: 1200px) { font-size: 18px; }"
"A input containing a red button with linear-gradient(to bottom, blue, green) background that says 'Contact Us', followed by a small text description, with spin.","<input><button style='background-color: radial-gradient(circle, pink, purple); font-size: 30px; animation: spin 2s;'>Enter Your Name</button><p style='font-size: 30px;'>click me</p></input> @keyframes spin { from { transform: rotate(0deg); } to { transform: rotate(360deg); } } transition: background-color 0.4s ease;"
"A div containing a yellow button with radial-gradient(circle, pink, purple) background that says 'Sign Up', followed by a medium text description, with fade-in.","<select><button style='background-color: linear-gradient(to right, red, yellow); font-size: 28px; animation: fade-in 2s;'>Sign Up</button><p style='font-size: 28px;'>click me</p></select> @keyframes slide-up { from { transform: translateY(100%); } to { transform: translateY(0); } } transition: background-color 0.4s ease;"
"A h3 containing a list of options with orange text, each inside a dotted box, with 4px 4px 10px rgba(0, 0, 0, 0.5), bounce, and @media (min-width: 1200px) { font-size: 18px; }.","<div><ul style='box-shadow: 0 4px 8px rgba(0, 0, 0, 0.2); animation: bounce 1.5s;'><li style='color: cyan; border: 1px ridge orange;'>Enter Your Name</li><li style='color: purple; border: 1px dashed blue;'>Search</li><li style='color: red; border: 1px dotted green;'>Hello World</li><li style='color: blue; border: 1px solid yellow;'>Enter Your Name</li><li style='color: gray; border: 1px groove white;'>Enter Your Name</li></ul></div> @keyframes bounce { 0%, 20%, 50%, 80%, 100% { transform: translateY(0); } 40% { transform: translateY(-30px); } 60% { transform: translateY(-15px); } } @media (max-width: 600px) { font-size: 14px; }"
"A purple button with medium Georgia text, using block layout, aligned to the center, with 0 4px 8px rgba(0, 0, 0, 0.2), slide-up, and a :hover { background-color: #555; color: white; }.","<button style='background-color: pink; font-size: 20px; font-family: Verdana; display: inline-block; text-align: center; box-shadow: 4px 4px 10px rgba(0, 0, 0, 0.5); animation: bounce 2s; transition: background-color 0.4s ease; :hover { background-color: #555; color: white; }'>Search</button> @keyframes slide-up { from { transform: translateY(100%); } to { transform: translateY(0); } }"
"A cyan button with medium Georgia text, using none layout, aligned to the center, with 4px 4px 10px rgba(0, 0, 0, 0.5), fade-in, and a :hover { background-color: #555; color: white; }.","<button style='background-color: green; font-size: 28px; font-family: Courier New; display: inline-block; text-align: justify; box-shadow: 0 4px 8px rgba(0, 0, 0, 0.2); animation: fade-in 2s; transition: background-color 0.4s ease; :hover { box-shadow: 0 0 10px rgba(0, 0, 0, 0.5); }'>Hello World</button> @keyframes spin { from { transform: rotate(0deg); } to { transform: rotate(360deg); } }"
"A yellow box with solid border, radial-gradient(circle, pink, purple) background, medium text centered inside, using inline-block layout, with :hover { transform: scale(1.1); } and spin.","<div style='background: linear-gradient(to right, red, yellow); border: 2px solid green; font-size: 30px; text-align: center; display: grid; justify-content: flex-start; align-items: center; animation: slide-up 2s; transition: background-color 0.4s ease; :hover { transform: scale(1.1); }'>Sign Up</div> @keyframes bounce { 0%, 20%, 50%, 80%, 100% { transform: translateY(0); } 40% { transform: translateY(-30px); } 60% { transform: translateY(-15px); } }"
"A red box with double border, linear-gradient(to bottom, blue, green) background, large text centered inside, using flex layout, with :hover { box-shadow: 0 0 10px rgba(0, 0, 0, 0.5); } and fade-in.","<div style='background: linear-gradient(to bottom, blue, green); border: 2px double purple; font-size: 26px; text-align: center; display: flex; justify-content: flex-end; align-items: center; animation: spin 2s; transition: background-color 0.4s ease; :hover { background-color: #555; color: white; }'>Sign Up</div> @keyframes bounce { 0%, 20%, 50%, 80%, 100% { transform: translateY(0); } 40% { transform: translateY(-30px); } 60% { transform: translateY(-15px); } }"
"A responsive p with a grid layout using template '100px 1fr', containing items with small text and :hover { background-color: #555; color: white; }.","<span style='display: grid; grid-template-columns: repeat(3, 1fr); gap: 10px; :hover { background-color: #555; color: white; }'><li style='color: black; border: 1px dotted blue;'>Contact Us</li><li style='color: pink; border: 1px double blue;'>Enter Your Name</li><li style='color: cyan; border: 1px dashed gray;'>Enter Your Name</li><li style='color: black; border: 1px solid blue;'>Enter Your Name</li><li style='color: red; border: 1px dashed red;'>Contact Us</li></span> @keyframes slide-up { from { transform: translateY(100%); } to { transform: translateY(0); } }"
"A responsive header with a grid layout using template '100px 1fr', containing items with large text and :hover { transform: scale(1.1); }.","<textarea style='display: grid; grid-template-columns: repeat(2, 1fr); gap: 10px; :hover { box-shadow: 0 0 10px rgba(0, 0, 0, 0.5); }'><li style='color: green; border: 1px solid black;'>Search</li><li style='color: blue; border: 1px dotted cyan;'>Choose Option</li><li style='color: purple; border: 1px solid blue;'>Choose Option</li><li style='color: yellow; border: 1px dashed blue;'>Enter Your Name</li><li style='color: orange; border: 1px double black;'>Submit</li></textarea> @keyframes slide-up { from { transform: translateY(100%); } to { transform: translateY(0); } }"
"A h3 containing a white button with linear-gradient(to bottom, blue, green) background that says 'Login', followed by a medium text description, with slide-up.","<footer><button style='background-color: linear-gradient(to right, red, yellow); font-size: 18px; animation: fade-in 2s;'>Login</button><p style='font-size: 18px;'>hello world</p></footer> @keyframes slide-up { from { transform: translateY(100%); } to { transform: translateY(0); } } transition: background-color 0.4s ease;"
"A responsive header with a grid layout using template 'repeat(2, 1fr)', containing items with small text and :hover { background-color: #555; color: white; }.",<textarea style='display: grid; grid-template-columns: 1fr 2fr; gap: 10px; :hover { transform: scale(1.1); }'><li style='color: blue; border: 1px double black;'>Enter Your Name</li><li style='color: cyan; border: 1px double orange;'>Click Me</li><li style='color: orange; border: 1px dotted black;'>Submit</li><li style='color: black; border: 1px double black;'>Contact Us</li><li style='color: yellow; border: 1px ridge blue;'>Search</li></textarea> @keyframes spin { from { transform: rotate(0deg); } to { transform: rotate(360deg); } }
"A h3 containing a white button with linear-gradient(to right, red, yellow) background that says 'Click Me', followed by a medium text description, with spin.","<h1><button style='background-color: radial-gradient(circle, pink, purple); font-size: 18px; animation: slide-up 2s;'>Search</button><p style='font-size: 18px;'>hello world</p></h1> @keyframes spin { from { transform: rotate(0deg); } to { transform: rotate(360deg); } } transition: all 0.3s ease;"
"A p containing a list of options with pink text, each inside a ridge box, with 2px 2px 5px rgba(0, 0, 0, 0.3), spin, and @media (min-width: 1200px) { font-size: 18px; }.","<p><ul style='box-shadow: none; animation: bounce 1.5s;'><li style='color: black; border: 1px groove white;'>Contact Us</li><li style='color: orange; border: 1px groove yellow;'>Submit</li><li style='color: green; border: 1px groove green;'>Submit</li><li style='color: black; border: 1px solid black;'>Search</li><li style='color: blue; border: 1px ridge purple;'>Click Me</li></ul></p> @keyframes bounce { 0%, 20%, 50%, 80%, 100% { transform: translateY(0); } 40% { transform: translateY(-30px); } 60% { transform: translateY(-15px); } } @media (max-width: 600px) { font-size: 14px; }"
"A medium footer with pink text, Helvetica font, none, and bounce, displayed as inline-block with center, responsive with media queries.","<button style='color: gray; font-size: 22px; font-family: Courier New; box-shadow: 4px 4px 10px rgba(0, 0, 0, 0.5); display: block; justify-content: center; animation: bounce 2s; transition: all 0.3s ease;'>Click Me</button> @keyframes slide-up { from { transform: translateY(100%); } to { transform: translateY(0); } } @media (max-width: 600px) { font-size: 14px; }"
"A yellow button with small Tahoma text, using grid layout, aligned to the justify, with 4px 4px 10px rgba(0, 0, 0, 0.5), slide-up, and a :hover { box-shadow: 0 0 10px rgba(0, 0, 0, 0.5); }.","<button style='background-color: black; font-size: 16px; font-family: Times New Roman; display: block; text-align: right; box-shadow: 4px 4px 10px rgba(0, 0, 0, 0.5); animation: bounce 2s; transition: transform 0.2s ease-in-out; :hover { background-color: #555; color: white; }'>Hello World</button> @keyframes slide-up { from { transform: translateY(100%); } to { transform: translateY(0); } }"
"A input containing a list of options with gray text, each inside a dotted box, with none, spin, and @media (max-width: 600px) { font-size: 14px; }.","<textarea><ul style='box-shadow: 0 4px 8px rgba(0, 0, 0, 0.2); animation: spin 1.5s;'><li style='color: pink; border: 1px dotted blue;'>Choose Option</li><li style='color: orange; border: 1px double cyan;'>Enter Your Name</li><li style='color: pink; border: 1px solid gray;'>Enter Your Name</li><li style='color: pink; border: 1px ridge black;'>Contact Us</li><li style='color: blue; border: 1px ridge red;'>Login</li></ul></textarea> @keyframes slide-up { from { transform: translateY(100%); } to { transform: translateY(0); } } @media (max-width: 600px) { font-size: 14px; }"
"A yellow button with large Times New Roman text, using flex layout, aligned to the center, with 4px 4px 10px rgba(0, 0, 0, 0.5), fade-in, and a :hover { box-shadow: 0 0 10px rgba(0, 0, 0, 0.5); }.","<button style='background-color: white; font-size: 30px; font-family: Georgia; display: flex; text-align: right; box-shadow: none; animation: bounce 2s; transition: transform 0.2s ease-in-out; :hover { box-shadow: 0 0 10px rgba(0, 0, 0, 0.5); }'>Enter Your Name</button> @keyframes bounce { 0%, 20%, 50%, 80%, 100% { transform: translateY(0); } 40% { transform: translateY(-30px); } 60% { transform: translateY(-15px); } }"
"A large h3 with blue text, Georgia font, 2px 2px 5px rgba(0, 0, 0, 0.3), and fade-in, displayed as inline-block with flex-end, responsive with media queries.","<h1 style='color: gray; font-size: 30px; font-family: Tahoma; box-shadow: 0 4px 8px rgba(0, 0, 0, 0.2); display: none; justify-content: flex-start; animation: fade-in 2s; transition: background-color 0.4s ease;'>Search</h1> @keyframes bounce { 0%, 20%, 50%, 80%, 100% { transform: translateY(0); } 40% { transform: translateY(-30px); } 60% { transform: translateY(-15px); } } @media (min-width: 600px) and (max-width: 1200px) { font-size: 16px; }"
"A responsive span with a grid layout using template 'repeat(3, 1fr)', containing items with medium text and :hover { transform: scale(1.1); }.","<div style='display: grid; grid-template-columns: repeat(3, 1fr); gap: 10px; :hover { transform: scale(1.1); }'><li style='color: purple; border: 1px dashed orange;'>Click Me</li><li style='color: purple; border: 1px dashed pink;'>Submit</li><li style='color: pink; border: 1px dashed white;'>Enter Your Name</li><li style='color: cyan; border: 1px groove purple;'>Search</li><li style='color: green; border: 1px groove orange;'>Hello World</li></div> @keyframes fade-in { from { opacity: 0; } to { opacity: 1; } }"
"A responsive input with a grid layout using template 'repeat(2, 1fr)', containing items with small text and :hover { box-shadow: 0 0 10px rgba(0, 0, 0, 0.5); }.","<p style='display: grid; grid-template-columns: repeat(2, 1fr); gap: 10px; :hover { transform: scale(1.1); }'><li style='color: black; border: 1px dashed cyan;'>Contact Us</li><li style='color: pink; border: 1px dotted orange;'>Sign Up</li><li style='color: purple; border: 1px dashed cyan;'>Contact Us</li><li style='color: yellow; border: 1px double orange;'>Search</li><li style='color: black; border: 1px dotted red;'>Enter Your Name</li></p> @keyframes fade-in { from { opacity: 0; } to { opacity: 1; } }"
"A gray button with large Verdana text, using inline-block layout, aligned to the left, with 0 4px 8px rgba(0, 0, 0, 0.2), fade-in, and a :hover { transform: scale(1.1); }.","<button style='background-color: green; font-size: 28px; font-family: Courier New; display: inline-block; text-align: justify; box-shadow: 2px 2px 5px rgba(0, 0, 0, 0.3); animation: fade-in 2s; transition: all 0.3s ease; :hover { transform: scale(1.1); }'>Login</button> @keyframes slide-up { from { transform: translateY(100%); } to { transform: translateY(0); } }"
"A nav containing a list of options with purple text, each inside a dashed box, with 4px 4px 10px rgba(0, 0, 0, 0.5), bounce, and @media (min-width: 600px) and (max-width: 1200px) { font-size: 16px; }.","<span><ul style='box-shadow: 4px 4px 10px rgba(0, 0, 0, 0.5); animation: spin 1.5s;'><li style='color: gray; border: 1px dashed yellow;'>Search</li><li style='color: white; border: 1px dashed purple;'>Sign Up</li><li style='color: cyan; border: 1px double gray;'>Click Me</li><li style='color: pink; border: 1px dotted yellow;'>Contact Us</li><li style='color: gray; border: 1px double orange;'>Search</li></ul></span> @keyframes bounce { 0%, 20%, 50%, 80%, 100% { transform: translateY(0); } 40% { transform: translateY(-30px); } 60% { transform: translateY(-15px); } } @media (max-width: 600px) { font-size: 14px; }"
"A responsive h3 with a grid layout using template 'repeat(3, 1fr)', containing items with large text and :hover { box-shadow: 0 0 10px rgba(0, 0, 0, 0.5); }.","<h1 style='display: grid; grid-template-columns: repeat(2, 1fr); gap: 10px; :hover { transform: scale(1.1); }'><li style='color: pink; border: 1px double black;'>Enter Your Name</li><li style='color: yellow; border: 1px ridge cyan;'>Contact Us</li><li style='color: black; border: 1px dotted blue;'>Sign Up</li><li style='color: red; border: 1px solid purple;'>Hello World</li><li style='color: pink; border: 1px dashed red;'>Choose Option</li></h1> @keyframes spin { from { transform: rotate(0deg); } to { transform: rotate(360deg); } }"
"A div containing a blue button with linear-gradient(to right, red, yellow) background that says 'Click Me', followed by a large text description, with spin.","<input><button style='background-color: linear-gradient(to right, red, yellow); font-size: 30px; animation: spin 2s;'>Search</button><p style='font-size: 30px;'>contact us</p></input> @keyframes fade-in { from { opacity: 0; } to { opacity: 1; } } transition: transform 0.2s ease-in-out;"
"A small select with white text, Georgia font, none, and bounce, displayed as grid with space-between, responsive with media queries.","<footer style='color: green; font-size: 30px; font-family: Arial; box-shadow: 2px 2px 5px rgba(0, 0, 0, 0.3); display: block; justify-content: space-between; animation: fade-in 2s; transition: transform 0.2s ease-in-out;'>Click Me</footer> @keyframes slide-up { from { transform: translateY(100%); } to { transform: translateY(0); } } @media (max-width: 600px) { font-size: 14px; }"
"A textarea containing a list of options with black text, each inside a double box, with none, fade-in, and @media (max-width: 600px) { font-size: 14px; }.","<select><ul style='box-shadow: none; animation: fade-in 1.5s;'><li style='color: green; border: 1px double gray;'>Click Me</li><li style='color: white; border: 1px groove yellow;'>Submit</li><li style='color: orange; border: 1px dashed white;'>Hello World</li><li style='color: orange; border: 1px solid red;'>Submit</li><li style='color: yellow; border: 1px groove orange;'>Submit</li></ul></select> @keyframes bounce { 0%, 20%, 50%, 80%, 100% { transform: translateY(0); } 40% { transform: translateY(-30px); } 60% { transform: translateY(-15px); } } @media (min-width: 600px) and (max-width: 1200px) { font-size: 16px; }"
"A black box with ridge border, linear-gradient(to right, red, yellow) background, small text centered inside, using inline-block layout, with :hover { background-color: #555; color: white; } and fade-in.","<div style='background: linear-gradient(to bottom, blue, green); border: 2px ridge cyan; font-size: 22px; text-align: center; display: block; justify-content: space-around; align-items: center; animation: slide-up 2s; transition: background-color 0.4s ease; :hover { transform: scale(1.1); }'>Contact Us</div> @keyframes slide-up { from { transform: translateY(100%); } to { transform: translateY(0); } }"
"A large div with pink text, Courier New font, 2px 2px 5px rgba(0, 0, 0, 0.3), and slide-up, displayed as block with flex-start, responsive with media queries.","<div style='color: red; font-size: 12px; font-family: Arial; box-shadow: 2px 2px 5px rgba(0, 0, 0, 0.3); display: flex; justify-content: center; animation: bounce 2s; transition: transform 0.2s ease-in-out;'>Click Me</div> @keyframes slide-up { from { transform: translateY(100%); } to { transform: translateY(0); } } @media (min-width: 600px) and (max-width: 1200px) { font-size: 16px; }"
"A blue button with medium Tahoma text, using inline-block layout, aligned to the justify, with none, fade-in, and a :hover { background-color: #555; color: white; }.","<button style='background-color: green; font-size: 24px; font-family: Georgia; display: none; text-align: justify; box-shadow: 2px 2px 5px rgba(0, 0, 0, 0.3); animation: spin 2s; transition: background-color 0.4s ease; :hover { transform: scale(1.1); }'>Enter Your Name</button> @keyframes spin { from { transform: rotate(0deg); } to { transform: rotate(360deg); } }"
"A header containing a list of options with cyan text, each inside a double box, with 2px 2px 5px rgba(0, 0, 0, 0.3), bounce, and @media (min-width: 600px) and (max-width: 1200px) { font-size: 16px; }.","<h2><ul style='box-shadow: 4px 4px 10px rgba(0, 0, 0, 0.5); animation: bounce 1.5s;'><li style='color: yellow; border: 1px dashed gray;'>Hello World</li><li style='color: blue; border: 1px ridge green;'>Search</li><li style='color: green; border: 1px dashed pink;'>Enter Your Name</li><li style='color: purple; border: 1px solid black;'>Search</li><li style='color: gray; border: 1px dashed black;'>Hello World</li></ul></h2> @keyframes spin { from { transform: rotate(0deg); } to { transform: rotate(360deg); } } @media (min-width: 1200px) { font-size: 18px; }"
"A gray button with small Helvetica text, using flex layout, aligned to the right, with none, spin, and a :hover { box-shadow: 0 0 10px rgba(0, 0, 0, 0.5); }.","<button style='background-color: yellow; font-size: 24px; font-family: Tahoma; display: block; text-align: justify; box-shadow: 4px 4px 10px rgba(0, 0, 0, 0.5); animation: spin 2s; transition: all 0.3s ease; :hover { box-shadow: 0 0 10px rgba(0, 0, 0, 0.5); }'>Login</button> @keyframes bounce { 0%, 20%, 50%, 80%, 100% { transform: translateY(0); } 40% { transform: translateY(-30px); } 60% { transform: translateY(-15px); } }"
"A medium select with purple text, Times New Roman font, 4px 4px 10px rgba(0, 0, 0, 0.5), and fade-in, displayed as block with flex-end, responsive with media queries.","<span style='color: green; font-size: 14px; font-family: Verdana; box-shadow: 2px 2px 5px rgba(0, 0, 0, 0.3); display: block; justify-content: flex-start; animation: fade-in 2s; transition: transform 0.2s ease-in-out;'>Click Me</span> @keyframes slide-up { from { transform: translateY(100%); } to { transform: translateY(0); } } @media (min-width: 600px) and (max-width: 1200px) { font-size: 16px; }"
"A responsive div with a grid layout using template 'repeat(3, 1fr)', containing items with medium text and :hover { background-color: #555; color: white; }.",<h1 style='display: grid; grid-template-columns: 1fr 2fr; gap: 10px; :hover { transform: scale(1.1); }'><li style='color: pink; border: 1px solid blue;'>Submit</li><li style='color: yellow; border: 1px dashed yellow;'>Enter Your Name</li><li style='color: red; border: 1px solid cyan;'>Click Me</li><li style='color: gray; border: 1px double black;'>Contact Us</li><li style='color: green; border: 1px double gray;'>Submit</li></h1> @keyframes spin { from { transform: rotate(0deg); } to { transform: rotate(360deg); } }
"A h1 containing a white button with linear-gradient(to bottom, blue, green) background that says 'Enter Your Name', followed by a large text description, with fade-in.","<select><button style='background-color: linear-gradient(to right, red, yellow); font-size: 24px; animation: spin 2s;'>Choose Option</button><p style='font-size: 24px;'>submit</p></select> @keyframes fade-in { from { opacity: 0; } to { opacity: 1; } } transition: all 0.3s ease;"
"A span containing a list of options with black text, each inside a ridge box, with none, bounce, and @media (max-width: 600px) { font-size: 14px; }.","<div><ul style='box-shadow: 2px 2px 5px rgba(0, 0, 0, 0.3); animation: fade-in 1.5s;'><li style='color: purple; border: 1px groove red;'>Contact Us</li><li style='color: white; border: 1px double orange;'>Contact Us</li><li style='color: cyan; border: 1px ridge red;'>Submit</li><li style='color: purple; border: 1px solid green;'>Hello World</li><li style='color: white; border: 1px solid pink;'>Choose Option</li></ul></div> @keyframes spin { from { transform: rotate(0deg); } to { transform: rotate(360deg); } } @media (min-width: 600px) and (max-width: 1200px) { font-size: 16px; }"
"A select containing a list of options with red text, each inside a solid box, with 2px 2px 5px rgba(0, 0, 0, 0.3), bounce, and @media (min-width: 600px) and (max-width: 1200px) { font-size: 16px; }.",<p><ul style='box-shadow: none; animation: slide-up 1.5s;'><li style='color: red; border: 1px double blue;'>Search</li><li style='color: pink; border: 1px groove gray;'>Login</li><li style='color: green; border: 1px solid yellow;'>Search</li><li style='color: blue; border: 1px solid white;'>Search</li><li style='color: gray; border: 1px double yellow;'>Choose Option</li></ul></p> @keyframes spin { from { transform: rotate(0deg); } to { transform: rotate(360deg); } } @media (min-width: 600px) and (max-width: 1200px) { font-size: 16px; }
"A select containing a list of options with red text, each inside a dashed box, with 0 4px 8px rgba(0, 0, 0, 0.2), spin, and @media (min-width: 1200px) { font-size: 18px; }.","<h2><ul style='box-shadow: 0 4px 8px rgba(0, 0, 0, 0.2); animation: slide-up 1.5s;'><li style='color: blue; border: 1px dashed yellow;'>Hello World</li><li style='color: green; border: 1px ridge pink;'>Submit</li><li style='color: yellow; border: 1px dotted black;'>Click Me</li><li style='color: yellow; border: 1px dashed green;'>Contact Us</li><li style='color: green; border: 1px dashed blue;'>Choose Option</li></ul></h2> @keyframes spin { from { transform: rotate(0deg); } to { transform: rotate(360deg); } } @media (max-width: 600px) { font-size: 14px; }"
"A responsive h1 with a grid layout using template 'repeat(3, 1fr)', containing items with small text and :hover { box-shadow: 0 0 10px rgba(0, 0, 0, 0.5); }.",<header style='display: grid; grid-template-columns: 1fr 2fr; gap: 10px; :hover { background-color: #555; color: white; }'><li style='color: orange; border: 1px dashed white;'>Login</li><li style='color: orange; border: 1px double purple;'>Submit</li><li style='color: black; border: 1px dotted red;'>Hello World</li><li style='color: yellow; border: 1px groove orange;'>Submit</li><li style='color: pink; border: 1px solid red;'>Hello World</li></header> @keyframes spin { from { transform: rotate(0deg); } to { transform: rotate(360deg); } }
"A medium textarea with cyan text, Courier New font, 2px 2px 5px rgba(0, 0, 0, 0.3), and slide-up, displayed as inline-block with flex-start, responsive with media queries.",<div style='color: pink; font-size: 20px; font-family: Verdana; box-shadow: none; display: flex; justify-content: flex-end; animation: fade-in 2s; transition: transform 0.2s ease-in-out;'>Login</div> @keyframes slide-up { from { transform: translateY(100%); } to { transform: translateY(0); } } @media (min-width: 1200px) { font-size: 18px; }
"A medium p with pink text, Helvetica font, 4px 4px 10px rgba(0, 0, 0, 0.5), and bounce, displayed as grid with space-between, responsive with media queries.","<h2 style='color: pink; font-size: 12px; font-family: Verdana; box-shadow: none; display: grid; justify-content: flex-start; animation: slide-up 2s; transition: background-color 0.4s ease;'>Sign Up</h2> @keyframes bounce { 0%, 20%, 50%, 80%, 100% { transform: translateY(0); } 40% { transform: translateY(-30px); } 60% { transform: translateY(-15px); } } @media (max-width: 600px) { font-size: 14px; }"
"A span containing a list of options with orange text, each inside a dotted box, with 4px 4px 10px rgba(0, 0, 0, 0.5), fade-in, and @media (min-width: 1200px) { font-size: 18px; }.","<textarea><ul style='box-shadow: 2px 2px 5px rgba(0, 0, 0, 0.3); animation: bounce 1.5s;'><li style='color: pink; border: 1px groove blue;'>Hello World</li><li style='color: gray; border: 1px dashed red;'>Click Me</li><li style='color: orange; border: 1px solid red;'>Enter Your Name</li><li style='color: blue; border: 1px dashed yellow;'>Hello World</li><li style='color: blue; border: 1px dashed yellow;'>Choose Option</li></ul></textarea> @keyframes bounce { 0%, 20%, 50%, 80%, 100% { transform: translateY(0); } 40% { transform: translateY(-30px); } 60% { transform: translateY(-15px); } } @media (min-width: 1200px) { font-size: 18px; }"
"A responsive button with a grid layout using template '100px 1fr', containing items with large text and :hover { box-shadow: 0 0 10px rgba(0, 0, 0, 0.5); }.","<h3 style='display: grid; grid-template-columns: repeat(2, 1fr); gap: 10px; :hover { background-color: #555; color: white; }'><li style='color: orange; border: 1px ridge blue;'>Search</li><li style='color: pink; border: 1px dashed green;'>Choose Option</li><li style='color: red; border: 1px solid orange;'>Enter Your Name</li><li style='color: gray; border: 1px dotted red;'>Click Me</li><li style='color: red; border: 1px dotted red;'>Sign Up</li></h3> @keyframes slide-up { from { transform: translateY(100%); } to { transform: translateY(0); } }"
"A h1 containing a yellow button with linear-gradient(to right, red, yellow) background that says 'Click Me', followed by a small text description, with slide-up.","<select><button style='background-color: radial-gradient(circle, pink, purple); font-size: 28px; animation: fade-in 2s;'>Enter Your Name</button><p style='font-size: 28px;'>enter your name</p></select> @keyframes bounce { 0%, 20%, 50%, 80%, 100% { transform: translateY(0); } 40% { transform: translateY(-30px); } 60% { transform: translateY(-15px); } } transition: background-color 0.4s ease;"
"A select containing a gray button with linear-gradient(to right, red, yellow) background that says 'Click Me', followed by a medium text description, with spin.","<header><button style='background-color: radial-gradient(circle, pink, purple); font-size: 28px; animation: bounce 2s;'>Search</button><p style='font-size: 28px;'>contact us</p></header> @keyframes slide-up { from { transform: translateY(100%); } to { transform: translateY(0); } } transition: all 0.3s ease;"
"A responsive nav with a grid layout using template 'repeat(3, 1fr)', containing items with medium text and :hover { background-color: #555; color: white; }.","<input style='display: grid; grid-template-columns: 100px 1fr; gap: 10px; :hover { box-shadow: 0 0 10px rgba(0, 0, 0, 0.5); }'><li style='color: black; border: 1px groove gray;'>Choose Option</li><li style='color: purple; border: 1px double gray;'>Search</li><li style='color: green; border: 1px ridge yellow;'>Search</li><li style='color: pink; border: 1px ridge blue;'>Click Me</li><li style='color: purple; border: 1px dashed blue;'>Enter Your Name</li></input> @keyframes spin { from { transform: rotate(0deg); } to { transform: rotate(360deg); } }"
"A h1 containing a orange button with radial-gradient(circle, pink, purple) background that says 'Choose Option', followed by a small text description, with spin.","<button><button style='background-color: linear-gradient(to right, red, yellow); font-size: 16px; animation: spin 2s;'>Sign Up</button><p style='font-size: 16px;'>click me</p></button> @keyframes slide-up { from { transform: translateY(100%); } to { transform: translateY(0); } } transition: background-color 0.4s ease;"
"A small input with pink text, Georgia font, none, and slide-up, displayed as none with flex-end, responsive with media queries.","<header style='color: red; font-size: 24px; font-family: Courier New; box-shadow: 2px 2px 5px rgba(0, 0, 0, 0.3); display: block; justify-content: flex-start; animation: fade-in 2s; transition: background-color 0.4s ease;'>Submit</header> @keyframes fade-in { from { opacity: 0; } to { opacity: 1; } } @media (min-width: 600px) and (max-width: 1200px) { font-size: 16px; }"
